Soil_Type,Sunlight_Hours,Water_Frequency,Fertilizer_Type,Temperature,Humidity,Growth_Milestone
1,4.44426791040454,3,2,25.9845332941224,69.5789521862924,1
2,4.38135010171614,3,2,26.087081050228,52.0765250686689,1
2,8.37763707002838,1,1,19.9546197900231,35.8533508213803,1
3,6.8332895509717,2,1,15.2878697725951,60.9109031658131,1
3,4.71756547562981,1,1,17.3214528101383,35.0561338061395,1
2,8.56471029170138,2,1,15.8145760463794,65.048456572956,1
3,8.62580307972737,3,1,29.0731571876005,71.0930029645178,1
2,6.96277357818634,2,3,24.4834765817465,65.3121113578248,1
1,4.64734856195983,3,1,18.4640373982003,48.713539787806,1
1,5.49575337489325,1,3,22.4922522925294,48.8129792765458,1
1,5.37278899294973,3,3,32.1297968237664,57.9202124867902,1
1,5.73850871748261,3,3,18.2586885416286,75.3177192547368,1
1,8.82203246139469,1,2,26.5094835575176,35.9408958134036,1
3,5.11942035331622,3,2,22.7633985241304,35.8763123388552,1
2,5.90802084983118,2,3,22.7220527560155,48.7435289761852,1
1,9.16438349953806,3,3,17.0155600275485,30.6077237344908,1
1,6.50446601889267,3,2,28.6601354683271,74.5571556849036,1
3,5.33264686282438,1,1,16.4237729692046,56.385055454315,1
3,5.80526985890062,2,1,20.6406914514261,32.2723190170729,1
3,5.70904296626481,3,3,18.5487908755945,44.0481594796115,1
3,4.2213216841272,1,2,30.0122950328172,77.5205742038279,1
1,5.67187878541967,2,3,22.4403617158557,43.8690591490566,1
1,5.43737134400183,2,2,21.8160708050604,53.1849202469991,1
2,6.20669879631552,3,3,31.5291493221548,70.6897509853474,1
1,4.54173862032645,3,1,15.216753029606,71.1268621461585,1
2,5.11911106239913,3,2,21.3862727518083,60.6707597967895,1
2,8,3,2,25,60,1
1,6,1,3,22,55,1
3,6.812,2,2,26.5,65.2,1
1,5.229,1,2,24.7,52.1,1
3,6.134,3,3,27.4,70.3,1
2,7.019,3,2,22.5,55.4,1
1,8.442,1,3,19.3,54.1,1
1,4.546,3,1,29.1,71.2,1
3,8.443,3,3,27.6,49.3,1
2,4.118,1,3,31.2,50.4,1
1,7.456,1,3,24.6,55.9,1
3,5.667,2,2,30.3,73.6,1
2,4.753,3,1,18.7,47.4,1
1,5.589,3,2,31.9,52.3,1
3,6.127,3,3,25.7,70.9,1
1,5.477,3,2,22.8,71.5,1
3,8.512,1,1,21.4,69.3,1
2,5.612,2,2,19.2,61.6,1
1,4.918,1,1,24.3,54.9,1
3,6.217,3,2,28.9,56.7,1
