Soil_Type,Sunlight_Hours,Water_Frequency,Fertilizer_Type,Temperature,Humidity,Growth_Milestone
2,4.03313270274161,2,2,28.919484121874,52.422276098916,1
1,9.17862055525356,2,2,20.5986779389189,54.7210152351291,1
1,5.86589393029397,3,1,27.234414924687,74.385209137915,1
2,8.37763707002838,1,1,19.9546197900231,35.8533508213803,1
2,6.96277357818634,2,3,24.4834765817465,65.3121113578248,1
1,5.49575337489325,1,3,22.4922522925294,48.8129792765458,1
2,4.96732772352403,2,1,16.4113749480086,35.5598741153076,1
3,5.11942035331622,3,2,22.7633985241304,35.8763123388552,1
1,9.16438349953806,3,3,17.0155600275485,30.6077237344908,1
3,5.33264686282438,1,1,16.4237729692046,56.385055454315,1
3,7.1127437304602,1,1,20.637095495468,56.1548922085074,1
3,6.18177761427576,1,1,28.934743307283,64.7874344492309,1
2,9.77468376965267,2,1,32.5494402705411,61.3779040042032,1
3,6.98349103535431,2,3,31.069618607697,75.0579005245494,1
3,5.80526985890062,2,1,20.6406914514261,32.2723190170729,1
3,5.70904296626481,3,3,18.5487908755945,44.0481594796115,1
1,4.30887250749994,1,2,23.2523535382285,61.0066298900768,1
1,5.43737134400183,2,2,21.8160708050604,53.1849202469991,1
1,6,1,3,22,55,1
3,6.812,2,2,26.5,65.2,1
3,6.134,3,3,27.4,70.3,1
2,7.019,3,2,22.5,55.4,1
1,8.442,1,3,19.3,54.1,1
3,8.443,3,3,27.6,49.3,1
2,4.118,1,3,31.2,50.4,1
1,7.456,1,3,24.6,55.9,1
3,5.667,2,2,30.3,73.6,1
1,5.589,3,2,31.9,52.3,1
2,7.245,3,3,30.4,63.4,1
3,6.217,3,2,28.9,56.7,1
1,6.762,3,2,22.9,46.5,1
3,7.856,2,3,26.2,48.1,1
2,9.104,1,1,28.2,62.1,1
1,8.019,2,2,27.3,55.3,1
2,8.239,3,2,30.7,68.3,1
3,8.991,1,2,27.9,57.2,1
2,4.917,3,1,28.7,54.5,1
1,9.043,2,2,26.4,70.1,1
3,6.917,2,1,18.6,61.4,1
1,4.932,1,1,31.4,54,1
3,6.341,2,2,30.9,69.1,1
2,7.491,3,1,28.4,54.3,1
1,4.568,1,2,30.1,48,1
