Soil_Type,Sunlight_Hours,Water_Frequency,Fertilizer_Type,Temperature,Humidity,Growth_Milestone
1,9.17862055525356,2,2,20.5986779389189,54.7210152351291,1
1,5.86589393029397,3,1,27.234414924687,74.385209137915,1
2,8.37763707002838,1,1,19.9546197900231,35.8533508213803,1
3,4.71756547562981,1,1,17.3214528101383,35.0561338061395,1
2,6.96277357818634,2,3,24.4834765817465,65.3121113578248,1
1,5.49575337489325,1,3,22.4922522925294,48.8129792765458,1
1,5.37278899294973,3,3,32.1297968237664,57.9202124867902,1
2,4.96732772352403,2,1,16.4113749480086,35.5598741153076,1
1,8.8487222773865,1,2,15.5302262108324,30.567682238371,1
2,7.80042253906254,2,1,26.7155116254693,53.4330320997063,1
3,5.11942035331622,3,2,22.7633985241304,35.8763123388552,1
2,5.90802084983118,2,3,22.7220527560155,48.7435289761852,1
1,9.16438349953806,3,3,17.0155600275485,30.6077237344908,1
2,9.77468376965267,2,1,32.5494402705411,61.3779040042032,1
3,5.80526985890062,2,1,20.6406914514261,32.2723190170729,1
3,4.2213216841272,1,2,30.0122950328172,77.5205742038279,1
1,4.30887250749994,1,2,23.2523535382285,61.0066298900768,1
1,5.67187878541967,2,3,22.4403617158557,43.8690591490566,1
1,5.43737134400183,2,2,21.8160708050604,53.1849202469991,1
2,5.4258252639544,1,1,33.0510581335913,56.804818317206,1
2,5.11911106239913,3,2,21.3862727518083,60.6707597967895,1
2,8,3,2,25,60,1
3,6.812,2,2,26.5,65.2,1
1,5.229,1,2,24.7,52.1,1
1,8.442,1,3,19.3,54.1,1
2,4.118,1,3,31.2,50.4,1
3,5.667,2,2,30.3,73.6,1
3,6.127,3,3,25.7,70.9,1
2,7.245,3,3,30.4,63.4,1
1,5.477,3,2,22.8,71.5,1
2,5.612,2,2,19.2,61.6,1
3,7.512,1,1,19,61.2,1
2,8.239,3,2,30.7,68.3,1
3,8.991,1,2,27.9,57.2,1
2,4.917,3,1,28.7,54.5,1
3,6.917,2,1,18.6,61.4,1
2,5.124,3,2,27.1,62.3,1
2,7.491,3,1,28.4,54.3,1
3,8.846,2,2,27.7,56.8,1
2,8.273,3,2,27.9,69.5,1
0,9.104,1,1,28.2,62.1,1
0,7.79383498356148,2,2,21.4009920206122,64.236558627694,1
0,4.03313270274161,2,2,28.919484121874,52.422276098916,1
0,7.289,1,1,28.6,60.9,1
0,6.98349103535431,2,3,31.069618607697,75.0579005245494,1
0,4.64734856195983,3,1,18.4640373982003,48.713539787806,1
0,4.44426791040454,3,2,25.9845332941224,69.5789521862924,1
0,8.019,2,2,27.3,55.3,1
0,6,1,3,22,55,1
0,8.512,1,1,21.4,69.3,1
0,7.321,3,1,20.3,47.3,1
0,8.443,3,3,27.6,49.3,1
0,5.70904296626481,3,3,18.5487908755945,44.0481594796115,1
0,5.589,3,2,31.9,52.3,1
0,6.762,3,2,22.9,46.5,1
0,7.019,3,2,22.5,55.4,1
0,6.127,1,2,22.1,55.7,1
1,5.19229408920503,1,1,31.7196024102441,61.59186060849,0
1,8.892768570729,1,3,23.1790588882854,44.6605385849032,0
3,6.15079437126564,3,2,29.2919184540012,69.4809071397277,0
3,9.32327645545796,2,3,30.1569222092874,68.0755315858736,0
2,8.27946872333797,1,3,15.9200528404351,34.2053403057499,0
2,7.13639697629196,3,3,16.95668321302,34.067439032095,0
3,7.81846246758268,1,2,22.9700946879475,70.6399783628751,0
1,5.88613588645796,3,2,27.3170019610443,77.3624288691929,0
3,7.05142414698822,3,3,27.7018730173529,79.3000531911435,0
3,9.44539884355656,1,1,15.9060801954409,67.6689092629471,0
3,7.2360534514939,2,1,24.1650578098303,67.3022439632712,0
3,9.37654779954096,2,3,33.8292961755305,78.1086274237271,0
3,4.66031154716606,2,3,34.2238112764783,44.285604314093,0
2,5.36761097525165,1,1,33.1070128391213,73.429956409473,0
3,6.56264673175754,3,1,18.9158226957859,41.1797919259726,0
1,7.06448381546539,2,3,16.8888592151186,32.1579955975288,0
3,9.65745822347511,3,2,15.4654387147165,57.692714220066,0
3,5.93921759212453,1,1,31.2893696517787,78.4651267809549,0
2,5.452331629069,3,3,30.0174213558299,78.7197403833083,0
2,5.92468038983042,1,1,16.8257335357227,66.285975419418,0
2,7.54535765912945,3,2,34.0121429387511,76.6364241677007,0
2,7.445,3,1,18.3,48.7,0
2,8.318,2,3,20.1,62.5,0
3,5.932,2,1,17.8,46.2,0
2,6.356,3,3,30.8,63.7,0
3,9.128,2,2,15.7,40.6,0
2,7.627,1,2,23.9,69.8,0
2,8.902,3,1,15.2,43.7,0
1,9.121,1,3,26.1,61.9,0
3,7.318,2,3,22.3,68.5,0
2,8.556,1,1,19.6,60.7,0
2,4.649,2,3,28.5,55.1,0
1,7.134,1,3,31,52.6,0
3,8.317,2,3,27.5,60.3,0
2,4.813,1,1,30,71.8,0
2,5.789,3,3,20.2,55,0
2,8.721,3,3,24.1,55.6,0
2,6.817,3,3,26.3,61.1,0
1,8.012,1,3,20.9,55.8,0
2,4.671,3,3,18.4,61.5,0
3,9.034,2,3,31.7,61,0
1,4.934,1,3,24.5,61.7,0
3,6.732,2,3,21.7,56.9,0
1,4.24465084932858,3,1,34.0012393410161,50.9121518145309,0
1,7.528,2,3,22,70.4,0
1,6.348,2,3,22.6,63.1,0
1,5.163,3,3,31.5,50.8,0
1,6.93671656166538,1,3,32.1682550368602,59.1828055925436,0
1,7.82534482813128,1,1,22.1194535730252,37.1495841026418,0
1,8.53330683125829,2,1,25.0627251716018,68.8573457963718,0
1,6.917,3,2,18.9,67.1,0
1,5.689,2,1,20.8,57.5,0
1,8.84464093098438,2,1,25.9123357863187,59.168438254858,0
1,7.392,1,3,31.1,68.6,0
1,5.451,3,3,31.3,46.1,0
1,5.922,1,3,26.8,70.6,0
1,7.21464810444855,2,3,22.7840335746833,75.5463592246921,0
1,7.65738600387938,2,2,31.1366947853453,74.5131891945458,0
1,9.83069249632576,2,2,27.5788569355977,52.7270532383887,0
