Soil_Type,Sunlight_Hours,Water_Frequency,Fertilizer_Type,Temperature,Humidity,Growth_Milestone
2,4.38135010171614,3,2,26.087081050228,52.0765250686689,1
2,8.37763707002838,1,1,19.9546197900231,35.8533508213803,1
2,8.56471029170138,2,1,15.8145760463794,65.048456572956,1
3,8.62580307972737,3,1,29.0731571876005,71.0930029645178,1
2,6.96277357818634,2,3,24.4834765817465,65.3121113578248,1
1,4.64734856195983,3,1,18.4640373982003,48.713539787806,1
1,4.18857511412041,1,2,23.6770329847595,48.5321073533445,1
1,5.73850871748261,3,3,18.2586885416286,75.3177192547368,1
2,4.96732772352403,2,1,16.4113749480086,35.5598741153076,1
1,9.57818591405544,2,2,27.8483855641263,54.631255214543,1
1,8.8487222773865,1,2,15.5302262108324,30.567682238371,1
2,7.80042253906254,2,1,26.7155116254693,53.4330320997063,1
1,8.82203246139469,1,2,26.5094835575176,35.9408958134036,1
3,5.11942035331622,3,2,22.7633985241304,35.8763123388552,1
3,7.1127437304602,1,1,20.637095495468,56.1548922085074,1
3,6.18177761427576,1,1,28.934743307283,64.7874344492309,1
2,9.77468376965267,2,1,32.5494402705411,61.3779040042032,1
3,6.98349103535431,2,3,31.069618607697,75.0579005245494,1
3,5.80526985890062,2,1,20.6406914514261,32.2723190170729,1
3,4.2213216841272,1,2,30.0122950328172,77.5205742038279,1
1,4.30887250749994,1,2,23.2523535382285,61.0066298900768,1
1,5.67187878541967,2,3,22.4403617158557,43.8690591490566,1
3,9.44959531579992,3,1,30.5282592148399,39.4060579861881,1
2,4.86936923254734,3,1,33.6151465120713,47.6676114013026,1
2,9.9139027246636,3,3,23.5798805475004,33.8867318482492,1
2,7.79383498356148,2,2,21.4009920206122,64.236558627694,1
2,5.11911106239913,3,2,21.3862727518083,60.6707597967895,1
1,6,1,3,22,55,1
1,5.229,1,2,24.7,52.1,1
3,6.134,3,3,27.4,70.3,1
1,8.442,1,3,19.3,54.1,1
1,4.546,3,1,29.1,71.2,1
2,4.118,1,3,31.2,50.4,1
1,7.456,1,3,24.6,55.9,1
3,5.667,2,2,30.3,73.6,1
2,4.753,3,1,18.7,47.4,1
1,5.589,3,2,31.9,52.3,1
3,6.127,3,3,25.7,70.9,1
2,7.245,3,3,30.4,63.4,1
3,8.512,1,1,21.4,69.3,1
2,5.612,2,2,19.2,61.6,1
3,6.217,3,2,28.9,56.7,1
1,6.762,3,2,22.9,46.5,1
2,8.239,3,2,30.7,68.3,1
1,7.093,2,1,20.4,70,1
3,8.991,1,2,27.9,57.2,1
1,9.043,2,2,26.4,70.1,1
2,5.124,3,2,27.1,62.3,1
1,4.932,1,1,31.4,54,1
1,4.568,1,2,30.1,48,1
1,7.289,1,1,28.6,60.9,1
3,8.846,2,2,27.7,56.8,1
2,7.321,3,1,20.3,47.3,1
1,6.127,1,2,22.1,55.7,1
3,7.528,2,1,30.5,60.1,1
2,8.273,3,2,27.9,69.5,1
0,4.918,1,1,24.3,54.9,1
0,5.33264686282438,1,1,16.4237729692046,56.385055454315,1
0,8.56971769197231,1,1,17.0624773767187,64.9080857009873,1
0,5.90802084983118,2,3,22.7220527560155,48.7435289761852,1
0,9.17862055525356,2,2,20.5986779389189,54.7210152351291,1
0,6.917,2,1,18.6,61.4,1
0,5.95109993216048,2,3,23.3920012485558,47.5457506276039,1
0,5.49575337489325,1,3,22.4922522925294,48.8129792765458,1
0,9.104,1,1,28.2,62.1,1
0,5.37278899294973,3,3,32.1297968237664,57.9202124867902,1
1,8.2411440630857,1,3,18.4658864014169,46.4332272684958,0
2,8.62762208011567,1,3,20.0048579632919,67.618726471884,0
3,6.15079437126564,3,2,29.2919184540012,69.4809071397277,0
1,5.9853881491159,1,1,29.7579383339154,57.4764441161868,0
3,7.82534482813128,1,1,22.1194535730252,37.1495841026418,0
3,9.32327645545796,2,3,30.1569222092874,68.0755315858736,0
2,8.27946872333797,1,3,15.9200528404351,34.2053403057499,0
2,7.13639697629196,3,3,16.95668321302,34.067439032095,0
2,6.5652461101513,2,1,24.8323175023366,34.2418857042596,0
1,4.15251476046457,3,1,24.4694354156113,79.3319789250588,0
